sentence,our approach,Arora's approach,human annotation
"If you set the hbase.hlog.split.skip.errors option to true, errors are treated as follows: Any error encountered during splitting will be logged.",,"OPTION, SET, ERROR, SPLITTING, AS, IF, TRUE",
hdfs dfsadmin -report.,"<hdf, HDFS, hdfs, hadoop distributed file system, Hadoop Distributed File System>",hdfs dfsadmin,
"In the case of SSE-C, the value of this property should be the Base64 encoded key.",,"SSE - c, CASE, KEY, VALUE, base64","SSE-C,Base64 encoded key,"
Get versions of columns with the specified timestamp.,,"GET, specified timestamp, COLUMNS","timestamp,"
Calls sync with the given transaction ID.,,given transaction id,"transaction ID,"
NOTE: This record writer is NOT thread-safe.,"<record writer, Record writer>","NOTE, record writer, Record writer","record writer,"
It uses a service loader interface to find the available CredentialProviders and create them based on the list of URIs.,"<and, ANDs>, <list, LIST>","LIST, ON, service loader interface, available credentialproviders, uris, CREATE, IT","service loader,"
The default implementations provided by Hadoop can be used as references: org.apache.hadoop.mapred.ShuffleHandler.,"<Hadooop, Hadoop, hadoop, hadooop>","AS, BY, DEFAULT","Hadoop,"
"An upgrade of HBase will not require an incompatible upgrade of a dependent project, except for Apache Hadoop.","<HBASE, Hbase, hbase>, <Hadooop, Hadoop, hadoop, hadooop>","incompatible upgrade, upgrade of hbase, dependent project, Apache hadoop","Hbase,Hadoop,"
I've just committed this to 0.21.,,TO,
"Key selection spec and value selection spec are separated by "":"".","<and, ANDs>","Key selection spec and value selection spec, BY","key selection spec,value selection spec,"
All options have been discussed separately in the sections above.,,ALL,
Sql UNIX_TIMESTAMP calcite operator.,,"SQL, OPERATOR, sql","Sql,calcite operator,"
See On the number of column families.,"<Column families, column family, column familie, column families, Column family, Column Families, Column Family>","ON, number of column","column family,"
Hadoop Wiki: The home page (FrontPage) for the Hadoop Wiki.,"<Hadooop, Hadoop, hadoop, hadooop>","frontpage, Hadoop wiki, home page","Hadoop,"
The registry manager cannot rely on clients consistently setting ZK permissions.,"<ZK, zk, Zk>","ZK, zk, registry manager, RELY","registry manager,ZK"
$ hbase org.apache.hadoop.hbase.snapshot.SnapshotInfo \ -remote-dir s3a://<bucket>/<namespace>/hbase \ -list-snapshots 137.,"<HBASE, Hbase, hbase>","hbase, HBASE, SNAPSHOTS, dir, DIR",
Maintains the cache for visibility labels and also uses the zookeeper to update the labels in the system.,"<and, ANDs>, <zookeeper, Zookeeper>","zookeeper, SYSTEM, Visibility labels, UPDATE, CACHE","zookeeper,"
Matches a single character that is not from character set or range {a}.,,"single character, SET, RANGE",
The creation process of a DBF is iterative.,,"DBF, creation process, dbf","DBF,"
</description> </property> No labels.,,,
The end of line string for this machine.,,end of line string,
Family Filter This filter takes a compare operator and a comparator.,"<and, ANDs>","comparator, FILTER, COMPARATOR, Family filter, compare operator","family filter,"
Converts from a bucket-mapjoin created from hints to SMB mapjoin.,"<smb, SMB>","MAPJOIN, bucket - mapjoin, TO, mapjoin","bucket-mapjoin,SMB"
"When interacting with read-only object stores, the permissions found in list"" and ""stat"" commands may indicate that the user has write access","<and, ANDs>, <list, LIST>","LIST, WHEN, ONLY, AND, write access, READ, and, stat, USER","read-only object store,permission,write access,"
"They are configured with the aclSubmitApps and aclAdministerApps properties, which can be set per queue.","<and, ANDs>","aclsubmitapps, SET",
Be sure to include these in any new unit test files you generate.,,"NEW, TO, FILES",
"To diagnose YARN application problems, set this property's value large enough (for example, to 600 = 10 minutes) to permit examination of these directories.","<YARN Application, yarn application, YARN application>","SET, yarn application, TO, DIRECTORIES, YARN application, MINUTES, property 's value",YARN application
Implementation Notes 172.,,NOTES,
Get CoordinatedStateManager instance for this server.,,GET,
"Modifies LineRecordReader to report an approximate progress, instead of just returning 0, when using compressed streams.",,"linerecordreader, approximate progress, WHEN",
HBase does not do any kind of validation of expressions beyond basic well-formedness.,"<HBASE, Hbase, hbase>","hbase, kind of validation, basic well - formedness, HBASE","Hbase,"
Parses all the HRegionInfo instances from the passed in stream until EOF.,,"hregioninfo, eof, ALL, STREAM, EOF","stream,"
Table Admins - A table admin can perform administrative operations only on that table.,"<Tablename, TABLE, table, tablename>","ONLY, TABLE, Table Admins - A table admin","table,"
Commands of limited value.,,limited value,
Get the ExecutionType of container to allocate.,,"GET, ALLOCATE, executiontype of container",
"In this case, it means that Hive will call this method to convert an object with appropriate objectinspectors that it knows about, to write out a HCatRecord.",,"hcatrecord, HIVE, TO, CALL, CASE, OBJECT, IT, objectinspectors","Hive,"
Invoked after a query compilation.,,query compilation,"query compilation,"
"When no DataBlockEncoding is been used, this is having no effect.",,WHEN,
"Due to non-standard behavior in Postgres, if a direct SQL select query has incorrect syntax or something similar inside a transaction, the entire transaction will fail and fall-back to DataNucleus will not be possible.","<and, ANDs>, <datanucleus, datanucleu>","entire transaction, OR, standard behavior, AND, TO, TRANSACTION, postgres, direct SQL select query, and, IF, POSTGRES","Postgres,transaction,DataNucleus,SQL,"
The reason it is included in this equation is that it would be unrealistic to say that it is possible to use 100% of the available memory since this would make the process blocking from the point where it loads new blocks.,,"NEW, TO, IT, available memory","process blocking,block,"
See HBASE-7351 Periodic health check script for configurations and detail.,"<and, ANDs>","AND, health check script, and, hbase-7351",
"By default, it is not supported.",,"IT, BY",
This is an advanced option that should only be used by server applications requiring a more carefully orchestrated shutdown sequence.,,"advanced option, ONLY, BY, carefully orchestrated shutdown sequence","orchestrated shutdown sequence,"
Distributed mode can be subdivided into distributed but all daemons run on a single node - a.k.a.,,"ON, Single node, Distributed mode, ALL, INTO, single node, distributed mode","Distributed mode,daemon"
todo: This need review re: thread safety.,"<TODO, todo>","thread safety, TODO, Thread safety, todo",
The parse Context is not changed.,,"Parse context, parse context",
"// Original version still works Admin admin = connection.getAdmin(); ClusterMetrics metrics = admin.getClusterStatus(); // or below, a new version which has the same effects ClusterMetrics metrics = admin.getClusterStatus(EnumSet.allOf(Option.class)); If information about live servers is the only wanted.","<admins, admin, Admins, ADMIN, Admin>","OR, new version, ONLY, original version, Admin admin, Original version, clustermetrics, IF","admin,live server,"
Collect a set of hosts from all child InputSplits.,,"HOSTS, ALL, SET",host
"Clearly, logical splits based on input-size is insufficient for many applications since record boundaries are to respected.",,"TO, RECORD, ON, SIZE","logical split,record boundary,"
"For id:pass the client must have the relevant id and password, SASL is not used even if the client has credentials.","<and, ANDs>","ID, sasl, AND, and, SASL, CLIENT, IF","client,SASL,credential,"
Note that setting the value too low or too high could have detrimental effects on your system.,,"ON, OR, SYSTEM, NOTE, VALUE",
"Instead, a tombstone marker is written.",,tombstone marker,
"If there are are more than -maxEligibleApps applications found, the newest applications are dropped.",,IF,
Take some time crafting your question.,,TIME,
Description copied from interface: IMetaStoreClient.,,"INTERFACE, DESCRIPTION, imetastoreclient",
new files added: A hadoop-mapreduce-project/hadoop-yarn/hadoop-yarn-site/src/site/apt/WebServicesIntro.apt.vm A hadoop-mapreduce-project/hadoop-yarn/hadoop-yarn-site/src/site/apt/NodeManagerRest.apt.vm A hadoop-mapreduce-project/hadoop-yarn/hadoop-yarn-site/src/site/apt/ResourceManagerRest.apt.vm A hadoop-mapreduce-project/hadoop-yarn/hadoop-yarn-site/src/site/apt/MapredAppMasterRest.apt.vm A hadoop-mapreduce-project/hadoop-yarn/hadoop-yarn-site/src/site/apt/HistoryServerRest.apt.vm.,"<mapreduce, mapred, Mapreduce>, <Hadooop, Hadoop, hadoop, hadooop>, <yarn, YARN>","hadoop, YARN, src, NEW, mapreduce, HADOOP, MAPREDUCE",
This call isn't needed any more: please remove uses of it.,,"CALL, IT",
"Please note that if the script cannot be executed due to permissions or an incorrect path, etc, then it counts as a failure and the node will be reported as unhealthy.","<and, ANDs>","OR, NOTE, TO, FAILURE, AS, incorrect path, IT, IF","permission,node,"
"If a directory has a default ACL, then getfacl also displays the default ACL.","<acls, Acl, Acls, ACL, ACLS, ACLs, acl>","default acl, getfacl, IF, DIRECTORY","ACL,"
The following example limits the above example to 200 MB/sec.,,"TO, following example, MB",
Add an InputSplit to this collection.,,"COLLECTION, inputsplit, ADD",","
Use getConf() instead.,,USE,
"fs.swift.impl The implementation class of the OpenStack Swift Filesystem fs.automatic.close By default, FileSystem instances are automatically closed at program exit using a JVM shutdown hook.","<jvm, JVMs, JVM, jvms>, <filesystem, Filesystem>","implementation class, BY, CLOSED, program exit, filesystem, OpenStack swift, Implementation class, JVM shutdown hook","OpenStack Swift Filesystem,JVM shutdown hook"
Set the value to a given byte range.,<byte range>,"VALUE, SET, given byte range",byte range
called after the regions merge.,,REGIONS,
"P0 Native Support for types of numbers, datetime, and IP addresses Currently most numbers, datetimes, and IP addresses are treated as strings.","<and, ANDs>","P0 Native support, AND, AS, and, datetime",
There are basically 3 cases here: 1.,,,
The keytab for the resource manager.,,"keytab, resource manager, Resource manager","resource manager,"
Examples: hadoop fs -getmerge -nl /src /opt/output.txt.,"<Hadooop, Hadoop, hadoop, hadooop>","hadoop fs, Hadoop fs",
Folder : A utility to scale the input trace.,<input trace>,"TO, input trace",input trace
"Effectively, this means previously we would not use a chunk pool when our memstore is onheap and now we will.","<and, ANDs>, <memstore>","USE, onheap, chunk pool, memstore","chunk pool,memstore,"
"After locating a service record, the client can enumerate the external bindings and locate the entry with the desired API.","<and, ANDs>","Service record, AND, EXTERNAL, and, desired api, service record, CLIENT","service record,client,external binding,"
